Datetime (CET+1/CEST +2),Datetime (UTC),Elia Grid Load [MW]
2022-10-31 19:45:00,2022-10-31 18:45:00,0.45061504801251734
2022-10-31 20:00:00,2022-10-31 19:00:00,0.43316361977566725
2022-10-31 20:15:00,2022-10-31 19:15:00,0.4444426876809134
2022-10-31 20:30:00,2022-10-31 19:30:00,0.4385332978489768
2022-10-31 20:45:00,2022-10-31 19:45:00,0.4263047615919447
2022-10-31 21:00:00,2022-10-31 20:00:00,0.41312798105061915
2022-10-31 21:15:00,2022-10-31 20:15:00,0.4069267531273139
2022-10-31 21:30:00,2022-10-31 20:30:00,0.40139957836995216
2022-10-31 21:45:00,2022-10-31 20:45:00,0.380003082609969
2022-10-31 22:00:00,2022-10-31 21:00:00,0.3893530201468249
2022-10-31 22:15:00,2022-10-31 21:15:00,0.36975080331979343
2022-10-31 22:30:00,2022-10-31 21:30:00,0.3778287307205545
2022-10-31 22:45:00,2022-10-31 21:45:00,0.365169220700491
2022-10-31 23:00:00,2022-10-31 22:00:00,0.354081719357842
2022-10-31 23:15:00,2022-10-31 22:15:00,0.33306070630122403
2022-10-31 23:30:00,2022-10-31 22:30:00,0.31168756982922524
2022-10-31 23:45:00,2022-10-31 22:45:00,0.298019734212105
2022-11-01 00:00:00,2022-10-31 23:00:00,0.2958935289774008
2022-11-01 00:15:00,2022-10-31 23:15:00,0.2921253392069532
2022-11-01 00:30:00,2022-10-31 23:30:00,0.26815758767306913
2022-11-01 00:45:00,2022-10-31 23:45:00,0.23706698739955123
2022-11-01 01:00:00,2022-11-01 00:00:00,0.2383636828967476
2022-11-01 01:15:00,2022-11-01 00:15:00,0.23012428059258333
2022-11-01 01:30:00,2022-11-01 00:30:00,0.22082861004790083
2022-11-01 01:45:00,2022-11-01 00:45:00,0.2028415502773992
2022-11-01 02:00:00,2022-11-01 01:00:00,0.20211578025989196
2022-11-01 02:15:00,2022-11-01 01:15:00,0.20794101545171
2022-11-01 02:30:00,2022-11-01 01:30:00,0.20814013043051172
2022-11-01 02:45:00,2022-11-01 01:45:00,0.21198584447549274
2022-11-01 03:00:00,2022-11-01 02:00:00,0.18478053642921766
2022-11-01 03:15:00,2022-11-01 02:15:00,0.19978923597889342
2022-11-01 03:30:00,2022-11-01 02:30:00,0.1808307766473628
2022-11-01 03:45:00,2022-11-01 02:45:00,0.18771870643403538
2022-11-01 04:00:00,2022-11-01 03:00:00,0.1924639060748532
2022-11-01 04:15:00,2022-11-01 03:15:00,0.18671201292696876
2022-11-01 04:30:00,2022-11-01 03:30:00,0.18443167719381715
2022-11-01 04:45:00,2022-11-01 03:45:00,0.16796042100169323
2022-11-01 05:00:00,2022-11-01 04:00:00,0.19690788310685875
2022-11-01 05:15:00,2022-11-01 04:15:00,0.19695296959283742
2022-11-01 05:30:00,2022-11-01 04:30:00,0.2010099372859221
2022-11-01 05:45:00,2022-11-01 04:45:00,0.18922532950621834
2022-11-01 06:00:00,2022-11-01 05:00:00,0.1837010109063394
2022-11-01 06:15:00,2022-11-01 05:15:00,0.1955864002429366
2022-11-01 06:30:00,2022-11-01 05:30:00,0.19837135779992637
2022-11-01 06:45:00,2022-11-01 05:45:00,0.20597373497979932
2022-11-01 07:00:00,2022-11-01 06:00:00,0.2206585666720492
2022-11-01 07:15:00,2022-11-01 06:15:00,0.22455660960234025
2022-11-01 07:30:00,2022-11-01 06:30:00,0.22390897589311282
2022-11-01 07:45:00,2022-11-01 06:45:00,0.22483651303565577
2022-11-01 08:00:00,2022-11-01 07:00:00,0.23145882017642688
2022-11-01 08:15:00,2022-11-01 07:15:00,0.2298628401772817
2022-11-01 08:30:00,2022-11-01 07:30:00,0.2218237769194118
2022-11-01 08:45:00,2022-11-01 07:45:00,0.20750453338496178
2022-11-01 09:00:00,2022-11-01 08:00:00,0.18732608678577323
2022-11-01 09:15:00,2022-11-01 08:15:00,0.16973236070290443
2022-11-01 09:30:00,2022-11-01 08:30:00,0.14199325722421685
2022-11-01 09:45:00,2022-11-01 08:45:00,0.1307627439961785
2022-11-01 10:00:00,2022-11-01 09:00:00,0.1078995093631473
2022-11-01 10:15:00,2022-11-01 09:15:00,0.09840054160906325
2022-11-01 10:30:00,2022-11-01 09:30:00,0.07417502186235547
2022-11-01 10:45:00,2022-11-01 09:45:00,0.07691081270839112
2022-11-01 11:00:00,2022-11-01 10:00:00,0.06387735006932815
2022-11-01 11:15:00,2022-11-01 10:15:00,0.06615666574623591
